STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140329,246,-9999,0,111,39,56
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140330,566,-9999,0,61,22,77
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140331,112,-9999,0,56,11,60
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140401,0,-9999,0,83,11,43
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140402,0,-9999,0,78,28,25
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140403,0,-9999,0,122,11,42
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140404,66,-9999,0,67,28,50
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140405,58,-9999,0,122,33,60
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140406,0,-9999,0,150,17,39
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140407,10,0,0,150,33,34
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140408,170,-9999,0,183,61,60
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140409,0,-9999,0,150,50,59
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140410,0,-9999,0,156,11,62
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140411,0,-9999,0,206,89,45
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140412,10,-9999,0,206,94,38
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140413,10,-9999,0,172,72,34
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140414,0,-9999,0,239,139,97
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140415,157,-9999,0,200,50,106
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140416,91,-9999,8,72,-5,67
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140417,0,-9999,0,44,0,62
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140418,0,-9999,0,56,-5,39
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140419,0,-9999,0,172,28,54
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140420,0,0,0,89,39,41
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140421,0,-9999,0,206,22,41
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140422,13,-9999,0,228,83,53
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140423,58,-9999,0,139,78,67
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140424,0,-9999,0,150,56,93
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140425,0,0,0,139,61,47
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140426,51,-9999,0,83,56,33
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140427,38,-9999,0,100,50,29
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140428,0,-9999,0,122,56,51
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140429,0,-9999,0,67,56,76
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140430,89,-9999,0,72,50,63
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140501,157,-9999,0,156,67,25
